,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image,unixTime,processedText,processedSummary
4924,5,False,"08 26, 2017",A2MJ8OL2FYN7CW,B00W259T7G,"{'Size:': ' 250 Gram', 'Color:': ' Olive Oil'}", Lynne E.,"This PRE DE PROVENCE SHEA BUTTER ENRICHED ARTISANAL FRENCH SOAP BAR (Olive Oil (250 g)) lathers beautifully, and feels luxurious.  It doesn't dry out or irritate my sensitive skin, so I can use it every day.  This is a large 250 gram olive oil bar that gives good value for the money (about $7 on Amazon).","Feels Luxurious, Doesn't Dry Out Sensitive Skin",1503705600,,,2017-08-26,"['pre', 'de', 'provence', 'shea', 'butter', 'enriched', 'artisanal', 'french', 'soap', 'bar', 'olive', 'oil', 'g', 'lather', 'beautifully', 'feel', 'luxurious', 'doesnnot', 'dry', 'irritate', 'sensitive', 'skin', 'use', 'every', 'day', 'large', 'gram', 'olive', 'oil', 'bar', 'give', 'good', 'value', 'money', 'amazon']","['feel', 'luxurious', 'doesnnot', 'dry', 'sensitive', 'skin']"
4187,5,False,"09 4, 2017",A2MJ8OL2FYN7CW,B001LNODUS,{'Color:': ' Shower Gel'}, Lynne E.,"Lavender is my favorite soap fragrance, so it's no surprise that I love this PRE DE PROVENCE FRENCH LAVENDER BATH & SHOWER GEL.  For the shower, a pump or two is enough for a nice lather, and the lather washes off easily.

The lavender fragrance is delicate, and it lingers for only a short time.  It doesn't overwhelm perfume, aftershave lotion, shampoo, or other scented products you may like to use.  The clear gel arrives in an attractive square pump dispenser.

The shower gel leaves my skin silky smooth, and it doesn't irritate my sensitive skin.",Clear Gel Creates Nice Lather With Delicate Lavender Scent,1504483200,,,2017-09-04,"['lavender', 'favorite', 'soap', 'fragrance', 'itis', 'surprise', 'love', 'pre', 'de', 'provence', 'french', 'lavender', 'bath', 'shower', 'gel', 'shower', 'pump', 'two', 'enough', 'nice', 'lather', 'lather', 'wash', 'easily', 'lavender', 'fragrance', 'delicate', 'lingers', 'short', 'time', 'doesnnot', 'overwhelm', 'perfume', 'aftershave', 'lotion', 'shampoo', 'scented', 'product', 'may', 'like', 'use', 'clear', 'gel', 'arrives', 'attractive', 'square', 'pump', 'dispenser', 'shower', 'gel', 'leaf', 'skin', 'silky', 'smooth', 'doesnnot', 'irritate', 'sensitive', 'skin']","['clear', 'gel', 'creates', 'nice', 'lather', 'delicate', 'lavender', 'scent']"
4856,5,False,"09 21, 2017",A2MJ8OL2FYN7CW,B00W259T7G,"{'Size:': ' 150 Gram', 'Color:': ' Sea Salt'}", Lynne E.,"I love Pre de Provence soaps, but was intensely curious about the Sea Salt bar.  What would it smell like?  Why would I want to wash my hands with sea salt?  Happily, this PRE DE PROVENCE SEA SALT FRENCH SOAP BAR (150g, 5.2 Ounce) is no different from the other Pre de Provence soaps--it smells wonderful, and produces a rich, thick lather.

The fragrance is hard to describe.  Its kind of floral, but maybe is best described as fresh sea breeze.  It makes one think of fresh air and sunshine.  The fragrance doesn't linger overlong.  The soap doesn't irritate my sensitive skin, but may be a little more drying than other Pre de Provence soaps (unless it's my imagination working overtime).

The soap definitely contains salt. The ingredients are:  sodium palmate, sodium palm kernelate, water, fragrance, palm acid, titanium dioxide, glycerin, palm kernel acid, SODIUM CHLORIDE, shea butter, sodium hydroxide, tetrasodium edta, tetrasodium etidronate, benzyl salicylate, linalool, geraniol, citral.",Luxurious French Soap Has Fresh Sea Breeze Fragrance,1505952000,7,,2017-09-21,"['love', 'pre', 'de', 'provence', 'soap', 'intensely', 'curious', 'sea', 'salt', 'bar', 'would', 'smell', 'like', 'would', 'want', 'wash', 'hand', 'sea', 'salt', 'happily', 'pre', 'de', 'provence', 'sea', 'salt', 'french', 'soap', 'bar', 'ounce', 'different', 'pre', 'de', 'provence', 'soap', 'smell', 'wonderful', 'produce', 'rich', 'thick', 'lather', 'fragrance', 'hard', 'describe', 'kind', 'floral', 'maybe', 'best', 'described', 'fresh', 'sea', 'breeze', 'make', 'one', 'think', 'fresh', 'air', 'sunshine', 'fragrance', 'doesnnot', 'linger', 'overlong', 'soap', 'doesnnot', 'irritate', 'sensitive', 'skin', 'may', 'little', 'drying', 'pre', 'de', 'provence', 'soap', 'unless', 'itis', 'imagination', 'working', 'overtime', 'soap', 'definitely', 'contains', 'salt', 'ingredient', 'sodium', 'palmate', 'sodium', 'palm', 'kernelate', 'water', 'fragrance', 'palm', 'acid', 'titanium', 'dioxide', 'glycerin', 'palm', 'kernel', 'acid', 'sodium', 'chloride', 'shea', 'butter', 'sodium', 'hydroxide', 'tetrasodium', 'edta', 'tetrasodium', 'etidronate', 'benzyl', 'salicylate', 'linalool', 'geraniol', 'citral']","['luxurious', 'french', 'soap', 'fresh', 'sea', 'breeze', 'fragrance']"
4849,5,False,"09 27, 2017",A2MJ8OL2FYN7CW,B00W259T7G,"{'Size:': ' 250 Gram', 'Color:': ' Sandalwood'}", Lynne E.,"This PRE DE PROVENCE Sandalwood SHEA BUTTER ENRICHED SOAP (250 Gram) should appeal to the male members of the household, because of the mild, woody fragrance.  (Most Pre de Provence soaps have fairly strong, flowery fragrances.)

It's a large bar of luxurious French soap.  It lathers beautifully, and the fragrance never lingers too long.  The soap is very gentle, and doesn't irritate sensitive skin.","Luxurious French Soap With Mild, Masculine Fragrance",1506470400,,,2017-09-27,"['pre', 'de', 'provence', 'sandalwood', 'shea', 'butter', 'enriched', 'soap', 'gram', 'appeal', 'male', 'member', 'household', 'mild', 'woody', 'fragrance', 'pre', 'de', 'provence', 'soap', 'fairly', 'strong', 'flowery', 'fragrance', 'itis', 'large', 'bar', 'luxurious', 'french', 'soap', 'lather', 'beautifully', 'fragrance', 'never', 'lingers', 'long', 'soap', 'gentle', 'doesnnot', 'irritate', 'sensitive', 'skin']","['luxurious', 'french', 'soap', 'mild', 'masculine', 'fragrance']"
4848,5,False,"09 27, 2017",A2MJ8OL2FYN7CW,B00W259T7G,"{'Size:': ' 250 Gram', 'Color:': ' Patchouli'}", Lynne E.,"This PRE DE PROVENCE PATCHOULI SHEA BUTTER ENRICHED SOAP (250 Gram) has the mild, musky fragrance that many women find sexy, but the fragrance is risky.  To some people (including me) it smells like fungus or damp basement.  Still, this soap may appeal to male household members, because it's so different from most other Pre de Provence soaps (with their fairly strong, flowery fragrances).

This is a large bar of luxurious French soap.  It lathers beautifully, and the fragrance never lingers too long.  The soap is very gentle, and doesn't irritate sensitive skin.

For men, a much safer Pre de Provence soap is the Sandalwood bar (see&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Pre-de-Provence-Sandalwood/dp/B01LWWOLW2/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Pre de Provence Sandalwood</a>).",Luxurious French Soap With Musky Masculine Fragrance,1506470400,,,2017-09-27,"['pre', 'de', 'provence', 'patchouli', 'shea', 'butter', 'enriched', 'soap', 'gram', 'mild', 'musky', 'fragrance', 'many', 'woman', 'find', 'sexy', 'fragrance', 'risky', 'people', 'including', 'smell', 'like', 'fungus', 'damp', 'basement', 'still', 'soap', 'may', 'appeal', 'male', 'household', 'member', 'itis', 'different', 'pre', 'de', 'provence', 'soap', 'fairly', 'strong', 'flowery', 'fragrance', 'large', 'bar', 'luxurious', 'french', 'soap', 'lather', 'beautifully', 'fragrance', 'never', 'lingers', 'long', 'soap', 'gentle', 'doesnnot', 'irritate', 'sensitive', 'skin', 'men', 'much', 'safer', 'pre', 'de', 'provence', 'soap', 'sandalwood', 'bar', 'see', 'pre', 'de', 'provence', 'sandalwood']","['luxurious', 'french', 'soap', 'musky', 'masculine', 'fragrance']"
4160,4,False,"08 2, 2016",ALNFHVS3SC4FV,B001ET7FZE,{'Style Name:': ' Bubble Fruit'}, Seas the Day ,"My kids love using the Colgate pumps. I think it just seems fun to them and they are easier for kids to operate than having to squeeze tubes. I do feel like the pumps leave a little bit left in the bottom though so you get a little bit less product with them. The pumps are definitely less messy though.

Our order came as 6 pumps of Colgate Maximum Cavity Protection in mild bubble fruit flavor. The toothpaste is a blue gel. Its slightly fruity but still minty. All 6 pumps had an expiration date of 10/2017 (this is 8/2016) so the expiration date is over a year out - plenty of time to use all 6 pumps. All the pumps have a safety seal on the pump that has to be broken off so you know they are sealed and safe.

The kids really like this flavor and the pump.",Kids Like the Flavor and the Pump,1470096000,,,2016-08-02,"['kid', 'love', 'using', 'colgate', 'pump', 'think', 'seems', 'fun', 'easier', 'kid', 'operate', 'squeeze', 'tube', 'feel', 'like', 'pump', 'leave', 'little', 'bit', 'left', 'bottom', 'though', 'get', 'little', 'bit', 'le', 'product', 'pump', 'definitely', 'le', 'messy', 'though', 'order', 'came', 'pump', 'colgate', 'maximum', 'cavity', 'protection', 'mild', 'bubble', 'fruit', 'flavor', 'toothpaste', 'blue', 'gel', 'slightly', 'fruity', 'still', 'minty', 'pump', 'expiration', 'date', 'expiration', 'date', 'year', 'plenty', 'time', 'use', 'pump', 'pump', 'safety', 'seal', 'pump', 'broken', 'know', 'sealed', 'safe', 'kid', 'really', 'like', 'flavor', 'pump']","['kid', 'like', 'flavor', 'pump']"
4908,5,False,"08 29, 2017",ALNFHVS3SC4FV,B00W259T7G,"{'Size:': ' 150 Gram', 'Color:': ' Starflower'}", Seas the Day ,"Review for Starflower:

This is a nice bar of soap. It has a hard consistency, not a soft bar so it seems to last longer. The soap provides a lot of suds which makes you feel like you are getting clean. It is a large size too which my husband really loves.

I had never smelled starflower before. The scent of the soap is a floral but not in a heavy or sweet type scent, it smells nothing like roses or magnolias but is just clean floral scent. Im not a big fan of florals and this one is ok, my husband doesnt care for anything girly scented and he doesnt mind this one either.","Large Bar, Floral but Nice and Clean Smelling",1503964800,,,2017-08-29,"['review', 'starflower', 'nice', 'bar', 'soap', 'hard', 'consistency', 'soft', 'bar', 'seems', 'last', 'longer', 'soap', 'provides', 'lot', 'suds', 'make', 'feel', 'like', 'getting', 'clean', 'large', 'size', 'husband', 'really', 'love', 'never', 'smelled', 'starflower', 'scent', 'soap', 'floral', 'heavy', 'sweet', 'type', 'scent', 'smell', 'nothing', 'like', 'rose', 'magnolia', 'clean', 'floral', 'scent', 'im', 'big', 'fan', 'florals', 'one', 'ok', 'husband', 'doesnt', 'care', 'anything', 'girly', 'scented', 'doesnt', 'mind', 'one', 'either']","['large', 'bar', 'floral', 'nice', 'clean', 'smelling']"
2190,5,False,"09 10, 2017",ALNFHVS3SC4FV,B0010ZBORW,{'Color:': ' Loofah'}, Seas the Day ,"Review for Loofah:

I have tried loofahs in the past and was never a big fan but I gave the Urban Spa Loofah a try and Im glad that I did. The loofah arrives a little flat from packaging but swells up nice and round in the water. It is surprisingly soft in the water. It works great with body wash providing lots of suds.

I like that it has an attached ribbon and suction cup. I thought that the suction cup being attached would bother me as I used it but it has not. Its nice that I can hang it on my shower door. It attaches securely and I haven't had any trouble with it slipping or sliding on the glass.",Nice Loofah with Attached Suction Cup,1505001600,,,2017-09-10,"['review', 'loofah', 'tried', 'loofah', 'past', 'never', 'big', 'fan', 'gave', 'urban', 'spa', 'loofah', 'try', 'im', 'glad', 'loofah', 'arrives', 'little', 'flat', 'packaging', 'swell', 'nice', 'round', 'water', 'surprisingly', 'soft', 'water', 'work', 'great', 'body', 'wash', 'providing', 'lot', 'suds', 'like', 'attached', 'ribbon', 'suction', 'cup', 'thought', 'suction', 'cup', 'attached', 'would', 'bother', 'used', 'nice', 'hang', 'shower', 'door', 'attache', 'securely', 'havennot', 'trouble', 'slipping', 'sliding', 'glass']","['nice', 'loofah', 'attached', 'suction', 'cup']"
846,5,True,"03 10, 2013",A39VQK6I0V3AFV,B0009RF9DW,{'Size:': ' 191'},&amp;quot;J&amp;quot; golfer,Have used for a long time and nothing has worked better. This is a winner and I will continue to purchase it.,great product,1362873600,,,2013-03-10,"['used', 'long', 'time', 'nothing', 'worked', 'better', 'winner', 'continue', 'purchase']","['great', 'product']"
4161,5,True,"02 13, 2009",A22CW0ZHY3NJH8,B001F51RAG,{'Flavor:': ' Deep Clean Cool Mint'},(),"This is my favorite floss.  I do feel like my teeth are much cleaner when I use it.  Like the name says, it glides easily between my teeth, no sticking or shredding.  The plastic container is small, compact and attractive.  The minty flavor is a nice touch.",Glides like it says,1234483200,5,,2009-02-13,"['favorite', 'floss', 'feel', 'like', 'teeth', 'much', 'cleaner', 'use', 'like', 'name', 'say', 'glide', 'easily', 'teeth', 'sticking', 'shredding', 'plastic', 'container', 'small', 'compact', 'attractive', 'minty', 'flavor', 'nice', 'touch']","['glide', 'like', 'say']"
